Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.4% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.8% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.3% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.5% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.9% | Temp: 40.9°C | Status: OK
