Starting Program 3 (SLOW)...
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 4.9% | Temp: 38.5°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SLOW : WINDOW SIZE: [50] Load: 4.9% | Temp: 39.4°C | Status: CRITICAL: SUSPICIOUS CPU LOAD!
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.4% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.9% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.0% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.6% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.3% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 38.5°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.8% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.8% | Temp: 38.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.4% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.8% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.5% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 5.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 6.7% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.2% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 7.7% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 8.2% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.1% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 9.2% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.0% | Temp: 40.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 10.8% | Temp: 39.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 11.6% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 12.4% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.2% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.7% | Temp: 41.4°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 13.7% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.2% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.1% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 14.9% | Temp: 39.9°C | Status: OK
SLOW : WINDOW SIZE: [50] Load: 15.7% | Temp: 39.4°C | Status: OK
